school_year,semester,class_id,course_id,teacher_id,student_anon_id,score_val,exam_type
2024-2025,秋,CT001-25,数学,T001,S-T001-008,64,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-009,99,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-010,33,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-011,73,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-012,68,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-013,58,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-014,75,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-015,70,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-016,94,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-017,99,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-018,55,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-019,60,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-020,95,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-021,66,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-022,34,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-023,66,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-024,69,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-025,98,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-026,81,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-027,100,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-028,46,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-029,63,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-030,87,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-031,31,期末
2024-2025,秋,CT001-25,数学,T001,S-T001-032,68,期末
2025-2026,春,CT001-26,数学,T001,S-T001-000,76,期末
2025-2026,春,CT001-26,数学,T001,S-T001-001,88,期末
2025-2026,春,CT001-26,数学,T001,S-T001-002,87,期末
2025-2026,春,CT001-26,数学,T001,S-T001-003,67,期末
2025-2026,春,CT001-26,数学,T001,S-T001-004,69,期末
2025-2026,春,CT001-26,数学,T001,S-T001-005,83,期末
2025-2026,春,CT001-26,数学,T001,S-T001-006,69,期末
2025-2026,春,CT001-26,数学,T001,S-T001-007,62,期末
2025-2026,春,CT001-26,数学,T001,S-T001-008,62,期末
2025-2026,春,CT001-26,数学,T001,S-T001-009,36,期末
2025-2026,春,CT001-26,数学,T001,S-T001-010,66,期末
2025-2026,春,CT001-26,数学,T001,S-T001-011,95,期末
2025-2026,春,CT001-26,数学,T001,S-T001-012,43,期末
2025-2026,春,CT001-26,数学,T001,S-T001-013,53,期末
2025-2026,春,CT001-26,数学,T001,S-T001-014,75,期末
2025-2026,春,CT001-26,数学,T001,S-T001-015,55,期末
2025-2026,春,CT001-26,数学,T001,S-T001-016,58,期末
2025-2026,春,CT001-26,数学,T001,S-T001-017,71,期末
2025-2026,春,CT001-26,数学,T001,S-T001-018,81,期末
2025-2026,春,CT001-26,数学,T001,S-T001-019,86,期末
2025-2026,春,CT001-26,数学,T001,S-T001-020,57,期末
2025-2026,春,CT001-26,数学,T001,S-T001-021,75,期末
2025-2026,春,CT001-26,数学,T001,S-T001-022,66,期末
2025-2026,春,CT001-26,数学,T001,S-T001-023,62,期末
2025-2026,春,CT001-26,数学,T001,S-T001-024,37,期末
2025-2026,春,CT001-26,数学,T001,S-T001-025,89,期末
2025-2026,春,CT001-26,数学,T001,S-T001-026,74,期末
2025-2026,春,CT001-26,数学,T001,S-T001-027,72,期末
2025-2026,春,CT001-26,数学,T001,S-T001-028,77,期末
2025-2026,春,CT001-26,数学,T001,S-T001-029,54,期末
2025-2026,春,CT001-26,数学,T001,S-T001-030,92,期末
2025-2026,春,CT001-26,数学,T001,S-T001-031,94,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-000,61,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-001,76,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-002,76,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-003,98,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-004,80,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-005,92,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-006,96,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-007,62,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-008,60,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-009,94,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-010,72,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-011,64,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-012,59,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-013,80,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-014,67,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-015,79,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-016,86,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-017,78,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-018,72,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-019,84,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-020,71,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-021,79,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-022,60,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-023,73,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-024,97,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-025,80,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-026,88,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-027,92,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-028,70,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-029,78,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-030,100,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-031,65,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-032,54,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-033,79,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-034,72,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-035,62,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-036,90,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-037,64,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-038,100,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-039,84,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-040,75,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-041,60,期末
2025-2026,秋,CT001-26,数学,T001,S-T001-042,57,期末
2023-2024,春,CT002-24,数学,T002,S-T002-000,33,期末
2023-2024,春,CT002-24,数学,T002,S-T002-001,37,期末
2023-2024,春,CT002-24,数学,T002,S-T002-002,93,期末
2023-2024,春,CT002-24,数学,T002,S-T002-003,95,期末
2023-2024,春,CT002-24,数学,T002,S-T002-004,67,期末
2023-2024,春,CT002-24,数学,T002,S-T002-005,89,期末
2023-2024,春,CT002-24,数学,T002,S-T002-006,95,期末
2023-2024,春,CT002-24,数学,T002,S-T002-007,88,期末
2023-2024,春,CT002-24,数学,T002,S-T002-008,92,期末
2023-2024,春,CT002-24,数学,T002,S-T002-009,95,期末
2023-2024,春,CT002-24,数学,T002,S-T002-010,70,期末
2023-2024,春,CT002-24,数学,T002,S-T002-011,45,期末
2023-2024,春,CT002-24,数学,T002,S-T002-012,75,期末
2023-2024,春,CT002-24,数学,T002,S-T002-013,38,期末
2023-2024,春,CT002-24,数学,T002,S-T002-014,46,期末
2023-2024,春,CT002-24,数学,T002,S-T002-015,75,期末
2023-2024,春,CT002-24,数学,T002,S-T002-016,64,期末
2023-2024,春,CT002-24,数学,T002,S-T002-017,75,期末
2023-2024,春,CT002-24,数学,T002,S-T002-018,80,期末
2023-2024,春,CT002-24,数学,T002,S-T002-019,32,期末
2023-2024,春,CT002-24,数学,T002,S-T002-020,74,期末
2023-2024,春,CT002-24,数学,T002,S-T002-021,69,期末
2023-2024,春,CT002-24,数学,T002,S-T002-022,64,期末
2023-2024,春,CT002-24,数学,T002,S-T002-023,81,期末
2023-2024,春,CT002-24,数学,T002,S-T002-024,86,期末
2023-2024,春,CT002-24,数学,T002,S-T002-025,86,期末
2023-2024,春,CT002-24,数学,T002,S-T002-026,97,期末
2023-2024,春,CT002-24,数学,T002,S-T002-027,30,期末
2023-2024,春,CT002-24,数学,T002,S-T002-028,54,期末
2023-2024,春,CT002-24,数学,T002,S-T002-029,90,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-000,82,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-001,84,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-002,56,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-003,94,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-004,58,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-005,74,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-006,91,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-007,81,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-008,85,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-009,89,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-010,49,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-011,85,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-012,61,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-013,87,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-014,89,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-015,76,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-016,73,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-017,81,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-018,42,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-019,86,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-020,65,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-021,94,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-022,82,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-023,64,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-024,50,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-025,61,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-026,36,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-027,49,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-028,68,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-029,67,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-030,73,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-031,76,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-032,35,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-033,67,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-034,35,期末
2023-2024,秋,CT002-24,数学,T002,S-T002-035,33,期末
2024-2025,春,CT002-25,数学,T002,S-T002-000,79,期末
2024-2025,春,CT002-25,数学,T002,S-T002-001,84,期末
2024-2025,春,CT002-25,数学,T002,S-T002-002,72,期末
2024-2025,春,CT002-25,数学,T002,S-T002-003,100,期末
2024-2025,春,CT002-25,数学,T002,S-T002-004,79,期末
2024-2025,春,CT002-25,数学,T002,S-T002-005,49,期末
2024-2025,春,CT002-25,数学,T002,S-T002-006,55,期末
2024-2025,春,CT002-25,数学,T002,S-T002-007,55,期末
2024-2025,春,CT002-25,数学,T002,S-T002-008,94,期末
2024-2025,春,CT002-25,数学,T002,S-T002-009,83,期末
2024-2025,春,CT002-25,数学,T002,S-T002-010,81,期末
2024-2025,春,CT002-25,数学,T002,S-T002-011,86,期末
2024-2025,春,CT002-25,数学,T002,S-T002-012,33,期末
2024-2025,春,CT002-25,数学,T002,S-T002-013,83,期末
2024-2025,春,CT002-25,数学,T002,S-T002-014,89,期末
2024-2025,春,CT002-25,数学,T002,S-T002-015,87,期末
2024-2025,春,CT002-25,数学,T002,S-T002-016,93,期末
2024-2025,春,CT002-25,数学,T002,S-T002-017,38,期末
2024-2025,春,CT002-25,数学,T002,S-T002-018,94,期末
2024-2025,春,CT002-25,数学,T002,S-T002-019,44,期末
2024-2025,春,CT002-25,数学,T002,S-T002-020,97,期末
2024-2025,春,CT002-25,数学,T002,S-T002-021,75,期末
2024-2025,春,CT002-25,数学,T002,S-T002-022,32,期末
2024-2025,春,CT002-25,数学,T002,S-T002-023,88,期末
2024-2025,春,CT002-25,数学,T002,S-T002-024,89,期末
2024-2025,春,CT002-25,数学,T002,S-T002-025,84,期末
2024-2025,春,CT002-25,数学,T002,S-T002-026,91,期末
2024-2025,春,CT002-25,数学,T002,S-T002-027,35,期末
2024-2025,春,CT002-25,数学,T002,S-T002-028,82,期末
2024-2025,春,CT002-25,数学,T002,S-T002-029,40,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-000,98,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-001,77,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-002,93,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-003,32,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-004,86,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-005,75,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-006,91,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-007,61,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-008,74,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-009,75,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-010,97,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-011,95,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-012,87,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-013,47,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-014,89,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-015,76,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-016,72,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-017,94,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-018,52,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-019,73,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-020,38,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-021,93,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-022,66,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-023,39,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-024,71,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-025,94,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-026,62,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-027,47,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-028,68,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-029,91,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-030,60,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-031,90,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-032,81,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-033,63,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-034,90,期末
2024-2025,秋,CT002-25,数学,T002,S-T002-035,64,期末
2025-2026,春,CT002-26,数学,T002,S-T002-000,64,期末
2025-2026,春,CT002-26,数学,T002,S-T002-001,63,期末
2025-2026,春,CT002-26,数学,T002,S-T002-002,96,期末
2025-2026,春,CT002-26,数学,T002,S-T002-003,32,期末
2025-2026,春,CT002-26,数学,T002,S-T002-004,33,期末
2025-2026,春,CT002-26,数学,T002,S-T002-005,86,期末
2025-2026,春,CT002-26,数学,T002,S-T002-006,99,期末
2025-2026,春,CT002-26,数学,T002,S-T002-007,93,期末
2025-2026,春,CT002-26,数学,T002,S-T002-008,88,期末
2025-2026,春,CT002-26,数学,T002,S-T002-009,97,期末
2025-2026,春,CT002-26,数学,T002,S-T002-010,39,期末
2025-2026,春,CT002-26,数学,T002,S-T002-011,63,期末
2025-2026,春,CT002-26,数学,T002,S-T002-012,66,期末
2025-2026,春,CT002-26,数学,T002,S-T002-013,36,期末
2025-2026,春,CT002-26,数学,T002,S-T002-014,76,期末
2025-2026,春,CT002-26,数学,T002,S-T002-015,70,期末
2025-2026,春,CT002-26,数学,T002,S-T002-016,95,期末
2025-2026,春,CT002-26,数学,T002,S-T002-017,60,期末
2025-2026,春,CT002-26,数学,T002,S-T002-018,98,期末
2025-2026,春,CT002-26,数学,T002,S-T002-019,62,期末
2025-2026,春,CT002-26,数学,T002,S-T002-020,78,期末
2025-2026,春,CT002-26,数学,T002,S-T002-021,89,期末
2025-2026,春,CT002-26,数学,T002,S-T002-022,74,期末
2025-2026,春,CT002-26,数学,T002,S-T002-023,55,期末
2025-2026,春,CT002-26,数学,T002,S-T002-024,48,期末
2025-2026,春,CT002-26,数学,T002,S-T002-025,72,期末
2025-2026,春,CT002-26,数学,T002,S-T002-026,94,期末
2025-2026,春,CT002-26,数学,T002,S-T002-027,69,期末
2025-2026,春,CT002-26,数学,T002,S-T002-028,56,期末
2025-2026,春,CT002-26,数学,T002,S-T002-029,63,期末
2025-2026,春,CT002-26,数学,T002,S-T002-030,79,期末
2025-2026,春,CT002-26,数学,T002,S-T002-031,96,期末
2025-2026,春,CT002-26,数学,T002,S-T002-032,44,期末
2025-2026,春,CT002-26,数学,T002,S-T002-033,79,期末
2025-2026,春,CT002-26,数学,T002,S-T002-034,77,期末
2025-2026,春,CT002-26,数学,T002,S-T002-035,91,期末
2025-2026,春,CT002-26,数学,T002,S-T002-036,98,期末
2025-2026,春,CT002-26,数学,T002,S-T002-037,87,期末
2025-2026,春,CT002-26,数学,T002,S-T002-038,49,期末
2025-2026,春,CT002-26,数学,T002,S-T002-039,65,期末
2025-2026,春,CT002-26,数学,T002,S-T002-040,96,期末
2025-2026,春,CT002-26,数学,T002,S-T002-041,61,期末
2025-2026,春,CT002-26,数学,T002,S-T002-042,51,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-000,48,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-001,71,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-002,88,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-003,35,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-004,43,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-005,91,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-006,45,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-007,81,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-008,66,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-009,40,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-010,91,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-011,85,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-012,47,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-013,65,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-014,80,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-015,85,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-016,56,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-017,51,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-018,44,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-019,72,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-020,99,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-021,50,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-022,63,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-023,95,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-024,78,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-025,91,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-026,100,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-027,75,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-028,79,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-029,95,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-030,74,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-031,59,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-032,67,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-033,69,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-034,78,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-035,77,期末
2025-2026,秋,CT002-26,数学,T002,S-T002-036,90,期末
