teacher_id,school_year,score
T001,2024-2025,4.3
T001,2024-2025,5.0
T001,2024-2025,4.3
T001,2024-2025,4.4
T001,2024-2025,4.8
T001,2024-2025,4.5
T001,2024-2025,4.0
T001,2024-2025,4.2
T001,2024-2025,4.0
T001,2024-2025,4.4
T001,2024-2025,4.1
T001,2024-2025,4.0
T001,2024-2025,5.0
T001,2024-2025,4.9
T001,2024-2025,4.4
T001,2024-2025,5.0
T001,2024-2025,5.0
T001,2024-2025,4.9
T001,2024-2025,5.0
T001,2024-2025,4.8
T001,2024-2025,4.1
T001,2024-2025,4.1
T001,2024-2025,5.0
T001,2024-2025,4.5
T001,2024-2025,5.0
T001,2024-2025,4.5
T001,2024-2025,4.0
T001,2024-2025,4.4
T001,2024-2025,4.4
T001,2024-2025,4.2
T001,2024-2025,4.6
T001,2024-2025,4.0
T001,2025-2026,4.2
T001,2025-2026,4.6
T001,2025-2026,4.9
T001,2025-2026,4.7
T001,2025-2026,4.2
T001,2025-2026,3.9
T001,2025-2026,4.0
T001,2025-2026,4.1
T001,2025-2026,4.2
T001,2025-2026,4.3
T001,2025-2026,4.4
T001,2025-2026,4.0
T001,2025-2026,4.0
T001,2025-2026,4.6
T001,2025-2026,4.3
T001,2025-2026,4.2
T001,2025-2026,4.4
T001,2025-2026,4.4
T001,2025-2026,4.6
T001,2025-2026,4.9
T001,2025-2026,4.6
T001,2025-2026,4.6
T001,2025-2026,4.1
T001,2025-2026,4.0
T001,2025-2026,4.3
T001,2025-2026,5.0
T001,2025-2026,4.6
T001,2025-2026,4.3
T001,2025-2026,4.1
T001,2025-2026,4.6
T001,2025-2026,4.4
T001,2025-2026,3.9
T001,2025-2026,3.9
T001,2025-2026,4.8
T001,2025-2026,4.9
T001,2025-2026,4.5
T001,2025-2026,4.1
T001,2025-2026,5.0
T001,2025-2026,4.1
T001,2025-2026,5.0
T001,2025-2026,4.3
T001,2025-2026,4.4
T001,2025-2026,4.6
T001,2025-2026,4.9
T001,2025-2026,4.6
T001,2025-2026,4.5
T001,2025-2026,4.5
T001,2025-2026,4.5
T001,2025-2026,4.6
T001,2025-2026,4.5
T001,2025-2026,3.9
T001,2025-2026,4.3
T001,2025-2026,4.0
T001,2025-2026,4.4
T001,2025-2026,4.3
T001,2025-2026,5.0
T001,2025-2026,4.9
T001,2025-2026,4.7
T001,2025-2026,4.6
T001,2025-2026,4.2
T002,2023-2024,4.4
T002,2023-2024,4.8
T002,2023-2024,4.3
T002,2023-2024,3.9
T002,2023-2024,3.7
T002,2023-2024,4.2
T002,2023-2024,4.2
T002,2023-2024,4.5
T002,2023-2024,4.5
T002,2023-2024,4.1
T002,2023-2024,4.6
T002,2023-2024,3.9
T002,2023-2024,4.3
T002,2023-2024,4.4
T002,2023-2024,3.8
T002,2023-2024,4.1
T002,2023-2024,4.1
T002,2023-2024,4.1
T002,2023-2024,3.8
T002,2023-2024,4.2
T002,2023-2024,4.3
T002,2023-2024,4.2
T002,2023-2024,4.6
T002,2023-2024,4.5
T002,2023-2024,4.4
T002,2023-2024,4.2
T002,2023-2024,4.3
T002,2023-2024,4.8
T002,2023-2024,4.2
T002,2023-2024,4.1
T002,2023-2024,4.7
T002,2023-2024,4.2
T002,2023-2024,4.2
T002,2023-2024,4.3
T002,2023-2024,4.4
T002,2023-2024,4.6
T002,2023-2024,4.4
T002,2023-2024,4.6
T002,2023-2024,3.9
T002,2023-2024,4.2
T002,2023-2024,4.7
T002,2023-2024,3.9
T002,2023-2024,4.0
T002,2023-2024,4.7
T002,2023-2024,4.8
T002,2023-2024,4.5
T002,2023-2024,4.4
T002,2023-2024,4.4
T002,2023-2024,4.2
T002,2023-2024,4.2
T002,2024-2025,4.3
T002,2024-2025,4.7
T002,2024-2025,4.5
T002,2024-2025,3.9
T002,2024-2025,4.3
T002,2024-2025,4.3
T002,2024-2025,4.7
T002,2024-2025,4.1
T002,2024-2025,4.0
T002,2024-2025,4.5
T002,2024-2025,3.8
T002,2024-2025,3.7
T002,2024-2025,4.7
T002,2024-2025,3.7
T002,2024-2025,4.7
T002,2024-2025,4.4
T002,2024-2025,4.5
T002,2024-2025,3.9
T002,2024-2025,4.6
T002,2024-2025,3.9
T002,2024-2025,4.3
T002,2024-2025,3.9
T002,2024-2025,3.7
T002,2024-2025,4.5
T002,2024-2025,3.9
T002,2024-2025,3.7
T002,2024-2025,4.7
T002,2024-2025,3.9
T002,2024-2025,3.9
T002,2024-2025,3.7
T002,2024-2025,4.0
T002,2024-2025,4.2
T002,2024-2025,4.4
T002,2024-2025,3.8
T002,2024-2025,4.8
T002,2024-2025,4.8
T002,2024-2025,3.8
T002,2024-2025,4.4
T002,2024-2025,4.7
T002,2024-2025,4.2
T002,2024-2025,4.4
T002,2024-2025,4.5
T002,2024-2025,3.9
T002,2024-2025,3.9
T002,2024-2025,3.7
T002,2024-2025,4.5
T002,2024-2025,4.4
T002,2024-2025,3.9
T002,2024-2025,4.5
T002,2024-2025,4.6
T002,2025-2026,3.6
T002,2025-2026,4.7
T002,2025-2026,4.1
T002,2025-2026,4.6
T002,2025-2026,4.7
T002,2025-2026,3.6
T002,2025-2026,4.6
T002,2025-2026,4.5
T002,2025-2026,3.8
T002,2025-2026,4.5
T002,2025-2026,4.6
T002,2025-2026,3.9
T002,2025-2026,3.6
T002,2025-2026,4.0
T002,2025-2026,4.3
T002,2025-2026,4.7
T002,2025-2026,4.0
T002,2025-2026,4.1
T002,2025-2026,4.4
T002,2025-2026,4.2
T002,2025-2026,4.7
T002,2025-2026,3.8
T002,2025-2026,4.2
T002,2025-2026,3.9
T002,2025-2026,4.6
T002,2025-2026,4.0
T002,2025-2026,4.5
T002,2025-2026,4.4
T002,2025-2026,4.5
T002,2025-2026,3.6
T002,2025-2026,4.0
T002,2025-2026,4.0
T002,2025-2026,4.4
T002,2025-2026,3.8
T002,2025-2026,4.3
T002,2025-2026,4.4
T002,2025-2026,4.1
T002,2025-2026,4.1
T002,2025-2026,4.0
T002,2025-2026,4.1
T002,2025-2026,3.7
T002,2025-2026,4.8
T002,2025-2026,4.2
T002,2025-2026,4.7
T002,2025-2026,3.6
T002,2025-2026,4.1
T002,2025-2026,4.1
T002,2025-2026,3.9
T002,2025-2026,4.0
T002,2025-2026,4.3
T003,2023-2024,3.7
T003,2023-2024,3.3
T003,2023-2024,3.4
T003,2023-2024,3.3
T003,2023-2024,3.8
T003,2023-2024,3.6
T003,2023-2024,3.2
T003,2023-2024,3.8
T003,2023-2024,4.1
T003,2023-2024,4.1
T003,2023-2024,3.9
T003,2023-2024,3.8
T003,2023-2024,3.8
T003,2023-2024,4.1
T003,2023-2024,3.4
T003,2023-2024,3.3
T003,2023-2024,4.1
T003,2023-2024,3.6
T003,2023-2024,3.5
T003,2023-2024,4.2
T003,2023-2024,3.4
T003,2023-2024,3.8
T003,2023-2024,4.1
T003,2023-2024,3.9
T003,2023-2024,4.0
T003,2023-2024,4.0
T003,2023-2024,3.9
T003,2023-2024,3.8
T003,2023-2024,3.7
T003,2023-2024,3.9
T003,2024-2025,3.6
T003,2024-2025,3.6
T003,2024-2025,3.4
T003,2024-2025,4.1
T003,2024-2025,3.1
T003,2024-2025,4.0
T003,2024-2025,4.1
T003,2024-2025,3.2
T003,2024-2025,3.6
T003,2024-2025,3.2
T003,2024-2025,4.0
T003,2024-2025,3.5
T003,2024-2025,3.8
T003,2024-2025,3.9
T003,2024-2025,3.6
T003,2024-2025,4.1
T003,2024-2025,3.5
T003,2024-2025,3.1
T003,2024-2025,3.2
T003,2024-2025,3.5
T003,2024-2025,3.7
T003,2024-2025,3.7
T003,2024-2025,3.8
T003,2024-2025,3.4
T003,2024-2025,3.0
T003,2024-2025,3.3
T003,2024-2025,3.0
T003,2024-2025,3.3
T003,2024-2025,3.1
T003,2024-2025,3.5
T003,2025-2026,3.8
T003,2025-2026,3.6
T003,2025-2026,3.1
T003,2025-2026,4.1
T003,2025-2026,4.2
T003,2025-2026,3.6
T003,2025-2026,3.3
T003,2025-2026,3.2
T003,2025-2026,3.2
T003,2025-2026,3.8
T003,2025-2026,3.9
T003,2025-2026,4.2
T003,2025-2026,3.4
T003,2025-2026,4.1
T003,2025-2026,3.5
T003,2025-2026,4.1
T003,2025-2026,3.5
T003,2025-2026,3.1
T003,2025-2026,4.2
T003,2025-2026,4.0
T003,2025-2026,3.2
T003,2025-2026,4.0
T003,2025-2026,3.1
T003,2025-2026,4.2
T003,2025-2026,3.5
T003,2025-2026,3.2
T003,2025-2026,4.2
T003,2025-2026,4.0
T003,2025-2026,3.9
T003,2025-2026,4.2
T004,2023-2024,4.7
T004,2023-2024,5.0
T004,2023-2024,4.6
T004,2023-2024,4.6
T004,2023-2024,4.4
T004,2023-2024,4.7
T004,2023-2024,4.3
T004,2023-2024,4.3
T004,2023-2024,5.0
T004,2023-2024,5.0
T004,2023-2024,4.1
T004,2023-2024,4.9
T004,2023-2024,4.8
T004,2023-2024,5.0
T004,2023-2024,5.0
T004,2023-2024,4.4
T004,2023-2024,4.2
T004,2023-2024,4.8
T004,2023-2024,4.6
T004,2023-2024,4.9
T004,2023-2024,5.0
T004,2023-2024,4.4
T004,2023-2024,4.2
T004,2023-2024,4.6
T004,2023-2024,4.7
T004,2023-2024,5.0
T004,2023-2024,5.0
T004,2023-2024,4.3
T004,2023-2024,5.0
T004,2023-2024,4.4
T004,2023-2024,5.0
T004,2023-2024,4.8
T004,2023-2024,4.8
T004,2023-2024,5.0
T004,2023-2024,5.0
T004,2023-2024,4.4
T004,2023-2024,5.0
T004,2023-2024,5.0
T004,2023-2024,4.7
T004,2023-2024,4.6
T004,2023-2024,4.4
T004,2023-2024,4.8
T004,2023-2024,4.8
T004,2023-2024,5.0
T004,2023-2024,4.3
T004,2023-2024,4.9
T004,2023-2024,4.8
T004,2023-2024,4.2
T004,2023-2024,4.5
T004,2023-2024,4.9
T004,2023-2024,4.6
T004,2023-2024,4.7
T004,2023-2024,4.9
T004,2023-2024,4.6
T004,2023-2024,4.5
T004,2024-2025,4.3
T004,2024-2025,4.7
T004,2024-2025,4.4
T004,2024-2025,4.4
T004,2024-2025,5.0
T004,2024-2025,4.3
T004,2024-2025,4.7
T004,2024-2025,4.2
T004,2024-2025,4.6
T004,2024-2025,4.6
T004,2024-2025,4.7
T004,2024-2025,4.6
T004,2024-2025,4.4
T004,2024-2025,4.5
T004,2024-2025,4.2
T004,2024-2025,4.6
T004,2024-2025,4.5
T004,2024-2025,4.7
T004,2024-2025,5.0
T004,2024-2025,4.2
T004,2024-2025,4.6
T004,2024-2025,4.8
T004,2024-2025,4.1
T004,2024-2025,4.2
T004,2024-2025,5.0
T004,2024-2025,4.8
T004,2024-2025,4.9
T004,2024-2025,4.4
T004,2024-2025,4.4
T004,2024-2025,5.0
T004,2024-2025,4.5
T004,2024-2025,5.0
T004,2024-2025,4.4
T004,2024-2025,4.3
T004,2024-2025,5.0
T004,2024-2025,5.0
T004,2024-2025,5.0
T004,2024-2025,5.0
T004,2024-2025,4.9
T004,2024-2025,4.9
T004,2024-2025,4.6
T004,2024-2025,4.4
T004,2024-2025,4.5
T004,2024-2025,4.4
T004,2024-2025,4.7
T004,2024-2025,4.9
T004,2024-2025,4.5
T004,2024-2025,4.5
T004,2024-2025,5.0
T004,2024-2025,4.7
T004,2024-2025,5.0
T004,2024-2025,5.0
T004,2024-2025,5.0
T004,2024-2025,4.5
T004,2024-2025,4.3
T004,2025-2026,4.5
T004,2025-2026,4.2
T004,2025-2026,5.0
T004,2025-2026,5.0
T004,2025-2026,4.1
T004,2025-2026,4.8
T004,2025-2026,4.8
T004,2025-2026,5.0
T004,2025-2026,4.5
T004,2025-2026,4.3
T004,2025-2026,4.4
T004,2025-2026,4.8
T004,2025-2026,4.4
T004,2025-2026,4.8
T004,2025-2026,5.0
T004,2025-2026,4.5
T004,2025-2026,5.0
T004,2025-2026,4.7
T004,2025-2026,5.0
T004,2025-2026,5.0
T004,2025-2026,4.7
T004,2025-2026,5.0
T004,2025-2026,4.5
T004,2025-2026,4.3
T004,2025-2026,4.8
T004,2025-2026,4.3
T004,2025-2026,5.0
T004,2025-2026,5.0
T004,2025-2026,5.0
T004,2025-2026,4.7
T004,2025-2026,5.0
T004,2025-2026,4.2
T004,2025-2026,5.0
T004,2025-2026,4.2
T004,2025-2026,4.1
T004,2025-2026,4.3
T004,2025-2026,4.9
T004,2025-2026,4.2
T004,2025-2026,4.3
T004,2025-2026,4.4
T004,2025-2026,4.6
T004,2025-2026,4.2
T004,2025-2026,4.9
T004,2025-2026,5.0
T004,2025-2026,5.0
T004,2025-2026,4.9
T004,2025-2026,4.1
T004,2025-2026,4.7
T004,2025-2026,4.6
T004,2025-2026,4.1
T004,2025-2026,5.0
T004,2025-2026,4.7
T004,2025-2026,4.4
T004,2025-2026,4.7
T004,2025-2026,4.9
